Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts,Year,Quarter
"Oliphant, Robert",Don Valley West,Liberal,74821.5,0.0,0.0,28930.13,2021,2
"O'Regan, Hon. Seamus",St. John's South—Mount Pearl,Liberal,66409.84,8285.47,208.53,27404.91,2021,2
"O'Toole, Hon. Erin",Durham,Conservative,92415.1,12144.37,24.97,22598.65,2021,2
"Ouellette, Robert-Falcon",Winnipeg Centre,Liberal,0.0,9204.33,0.0,0.0,2021,2
"Patzer, Jeremy",Cypress Hills—Grasslands,Conservative,64400.8,18450.48,19.99,25189.85,2021,2
"Paul-Hus, Pierre",Charlesbourg—Haute-Saint-Charles,Conservative,81913.13,9586.0,663.77,22018.26,2021,2
"Pauzé, Monique",Repentigny,Bloc Québécois,72983.82,7457.35,196.0,17496.55,2021,2
"Perron, Yves",Berthier—Maskinongé,Bloc Québécois,59958.39,12476.45,42.59,21774.03,2021,2
"Petitpas Taylor, Hon. Ginette",Moncton—Riverview—Dieppe,Liberal,59031.03,5116.01,45.0,26944.63,2021,2
"Plamondon, Louis",Bécancour—Nicolet—Saurel,Bloc Québécois,59232.83,2279.96,0.0,17953.65,2021,2
"Poilievre, Hon. Pierre",Carleton,Conservative,72790.56,0.0,0.0,15805.29,2021,2
"Powlowski, Marcus",Thunder Bay—Rainy River,Liberal,82652.61,1375.19,142.55,20597.92,2021,2
"Qaqqaq, Mumilaaq",Nunavut,New Democratic Party,72664.43,37057.81,0.0,22014.67,2021,2
"Qualtrough, Hon. Carla",Delta,Liberal,59347.05,30549.43,0.0,92005.92,2021,2
"Ramsey, Tracey",Essex,New Democratic Party,0.0,837.52,0.0,0.0,2021,2
"Ratansi, Yasmin",Don Valley East,Liberal,80267.05,13.04,6.97,23644.09,2021,2
"Rayes, Alain",Richmond—Arthabaska,Conservative,74204.65,11131.98,568.48,24113.29,2021,2
"Redekopp, Brad",Saskatoon West,Conservative,81261.48,7643.46,285.05,23471.32,2021,2
"Regan, Hon. Geoff",Halifax West,Liberal,85541.85,5700.0,0.0,10716.19,2021,2
"Reid, Scott",Lanark—Frontenac—Kingston,Conservative,65145.57,0.0,0.0,36740.17,2021,2
"Rempel Garner, Hon. Michelle",Calgary Nose Hill,Conservative,66791.58,5250.0,0.0,24079.32,2021,2
"Richards, Blake",Banff—Airdrie,Conservative,76928.37,1071.54,50.83,28171.28,2021,2
